Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Exclusive Shelf,Read Count,Genre,Author Gender,Author Nationality,Author Age When Written
195967140,The Teacher,Freida McFadden,"McFadden, Freida",,1728296218,9781728296210,0,3.91,Poisoned Pen Press,Paperback,379,2024,2024,2/11/2024,2/9/2024,read,1,,,,
65650229,Wellness,Nathan  Hill,"Hill, Nathan",,0593536118,9780593536117,0,3.98,Knopf,Hardcover,611,2023,2023,2/9/2024,1/17/2024,read,1,,,,
46015758,If It Bleeds,Stephen        King,"King, Stephen",,,,4,3.98,Scribner ,Kindle Edition,438,2020,2020,2/8/2024,1/19/2024,read,1,,,,
17465709,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",Robin Wall Kimmerer,"Kimmerer, Robin Wall",,1571313354,9781571313355,5,4.52,Milkweed Editions,Hardcover,408,2013,2013,2/3/2024,3/13/2023,read,1,,,,
36124936,The Outsider,Stephen        King,"King, Stephen",,1501180983,9781501180989,4,4.01,Scribner,Hardcover,561,2018,2018,1/19/2024,8/19/2023,read,1,,,,
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,,,4,4.45,Simon & Schuster,ebook,320,2022,2022,1/12/2024,6/19/2023,read,1,,,,
25526965,"End of Watch (Bill Hodges Trilogy, #3)",Stephen        King,"King, Stephen",,1501129740,9781501129742,4,4.11,Scribner,Hardcover,432,2016,2016,1/10/2024,11/25/2023,read,1,,,,
52915498,A Sand County Almanac: And Sketches Here and There,Aldo Leopold,"Leopold, Aldo","Barbara Kingsolver, Cassandra Campbell",,,4,4.31,"HighBridge, a division of Recorded Books",Audible Audio,4,2020,1949,1/7/2024,12/24/2023,read,1,,,,
56179377,Nettle & Bone,T. Kingfisher,"Kingfisher, T.",,1250244048,9781250244048,3,4.1,Tor Books,Hardcover,243,2022,2022,1/6/2024,10/1/2023,read,1,,,,
543410,Herbs for Natural Beauty,Rosemary Gladstar,"Gladstar, Rosemary",,1580171524,9781580171526,4,4.41,"Storey Publishing, LLC",Paperback,80,1999,1999,12/31/2023,10/17/2023,read,1,,,,
158403323,The Conspiracy to End America: Five Ways My Old Party Is Driving Our Democracy to Autocracy,Stuart Stevens,"Stevens, Stuart",,1538765403,9781538765401,5,4.41,Twelve,Hardcover,240,2023,,12/31/2023,12/22/2023,read,1,,,,
